event_id,lat,lon,timestamp,case_count,region,country,year,month
188,13.09,103.2,2000-09-01,21,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,9
189,13.09,103.2,2000-10-01,21,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,10
190,13.09,103.2,2000-11-01,13,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,11
191,13.09,103.2,2000-12-01,3,"CAMBODIA, BATTAMBANG",CAMBODIA,2000,12
192,13.09,103.2,2001-01-01,1,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,1
193,13.09,103.2,2001-02-01,1,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,2
194,13.09,103.2,2001-03-01,3,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,3
195,13.09,103.2,2001-04-01,15,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,4
196,13.09,103.2,2001-05-01,31,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,5
197,13.09,103.2,2001-06-01,6,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,6
198,13.09,103.2,2001-07-01,53,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,7
199,13.09,103.2,2001-08-01,47,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,8
200,13.09,103.2,2001-09-01,16,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,9
201,13.09,103.2,2001-10-01,26,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,10
202,13.09,103.2,2001-11-01,9,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,11
203,13.09,103.2,2001-12-01,1,"CAMBODIA, BATTAMBANG",CAMBODIA,2001,12
204,13.09,103.2,2002-01-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,1
205,13.09,103.2,2002-02-01,1,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,2
206,13.09,103.2,2002-03-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,3
207,13.09,103.2,2002-04-01,2,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,4
208,13.09,103.2,2002-05-01,8,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,5
209,13.09,103.2,2002-06-01,15,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,6
210,13.09,103.2,2002-07-01,27,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,7
211,13.09,103.2,2002-08-01,26,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,8
212,13.09,103.2,2002-09-01,25,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,9
213,13.09,103.2,2002-10-01,14,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,10
214,13.09,103.2,2002-11-01,8,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,11
215,13.09,103.2,2002-12-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,2002,12
216,13.09,103.2,2003-01-01,4,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,1
217,13.09,103.2,2003-02-01,1,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,2
218,13.09,103.2,2003-03-01,5,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,3
219,13.09,103.2,2003-04-01,17,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,4
220,13.09,103.2,2003-05-01,23,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,5
221,13.09,103.2,2003-06-01,42,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,6
222,13.09,103.2,2003-07-01,41,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,7
